"","Comptes","Duree_credit","Historique_credit","Objet_credit","Montant_credit","Epargne","Anciennete_emploi","Taux_effort","Situation_familiale","Garanties","Anciennete_domicile","Biens","Age","Autres_credits","Statut_domicile","Nb_credits","Type_emploi","Nb_pers_charge","Telephone","Cible","Cle"
"96","2",54,"A30","A49",15945,"1","2",3,"A93","A101",4,"A124",58,"A143","A151",1,"A173","1","A192","1",96
"97","4",12,"A34","A46",2012,"0","4",4,"A92","A101",2,"A123",61,"A143","A152",1,"A173","1","A191","0",97
"98","2",18,"A32","A49",2622,"2","3",4,"A93","A101",4,"A123",34,"A143","A152",1,"A173","1","A191","0",98
"99","2",36,"A34","A43",2337,"1","5",4,"A93","A101",4,"A121",36,"A143","A152",1,"A173","1","A191","0",99
"100","2",20,"A33","A41",7057,"0","4",3,"A93","A101",4,"A122",36,"A141","A151",2,"A174","2","A192","0",100
"101","4",24,"A32","A40",1469,"2","5",4,"A94","A101",4,"A121",41,"A143","A151",1,"A172","1","A191","0",101
"102","2",36,"A32","A43",2323,"1","4",4,"A93","A101",4,"A123",24,"A143","A151",1,"A173","1","A191","0",102
"103","4",6,"A33","A43",932,"1","3",3,"A92","A101",2,"A121",24,"A143","A152",1,"A173","1","A191","0",103
"104","2",9,"A34","A42",1919,"1","4",4,"A93","A101",3,"A123",35,"A143","A151",1,"A173","1","A192","0",104
"105","4",12,"A32","A41",2445,"0","2",2,"A94","A101",4,"A123",26,"A143","A151",1,"A173","1","A192","0",105
"106","2",24,"A34","A410",11938,"1","3",2,"A93","A102",3,"A123",39,"A143","A152",2,"A174","2","A192","1",106
"107","4",18,"A31","A40",6458,"1","5",2,"A93","A101",4,"A124",39,"A141","A152",2,"A174","2","A192","1",107
"108","2",12,"A32","A40",6078,"1","4",2,"A93","A101",2,"A123",32,"A143","A152",1,"A173","1","A191","0",108
"109","1",24,"A32","A42",7721,"0","2",1,"A92","A101",2,"A122",30,"A143","A152",1,"A173","1","A192","0",109
"110","2",14,"A32","A49",1410,"3","5",1,"A94","A101",2,"A121",35,"A143","A152",1,"A173","1","A192","0",110
"111","2",6,"A33","A49",1449,"2","5",1,"A91","A101",2,"A123",31,"A141","A152",2,"A173","2","A191","0",111
"112","3",15,"A32","A46",392,"1","2",4,"A92","A101",4,"A122",23,"A143","A151",1,"A173","1","A192","0",112
"113","2",18,"A32","A40",6260,"1","4",3,"A93","A101",3,"A121",28,"A143","A151",1,"A172","1","A191","0",113
"114","4",36,"A34","A40",7855,"1","3",4,"A92","A101",2,"A121",25,"A142","A152",2,"A173","1","A192","1",114
"115","1",12,"A32","A43",1680,"3","5",3,"A94","A101",1,"A121",35,"A143","A152",1,"A173","1","A191","0",115
"116","4",48,"A34","A43",3578,"0","5",4,"A93","A101",1,"A121",47,"A143","A152",1,"A173","1","A192","0",116
"117","1",42,"A32","A43",7174,"0","4",4,"A92","A101",3,"A123",30,"A143","A152",1,"A174","1","A192","1",117
"118","1",10,"A34","A42",2132,"0","2",2,"A92","A102",3,"A121",27,"A143","A151",2,"A173","1","A191","0",118
"119","1",33,"A34","A42",4281,"3","3",1,"A92","A101",4,"A123",23,"A143","A152",2,"A173","1","A191","1",119
"120","2",12,"A34","A40",2366,"3","4",3,"A91","A101",3,"A123",36,"A143","A152",1,"A174","1","A192","0",120
"121","1",21,"A32","A43",1835,"1","3",3,"A92","A101",2,"A121",25,"A143","A152",2,"A173","1","A192","1",121
"122","4",24,"A34","A41",3868,"1","5",4,"A92","A101",2,"A123",41,"A143","A151",2,"A174","1","A192","0",122
"123","4",12,"A32","A42",1768,"1","3",3,"A93","A101",2,"A121",24,"A143","A151",1,"A172","1","A191","0",123
"124","3",10,"A34","A40",781,"1","5",4,"A93","A101",4,"A124",63,"A143","A153",2,"A173","1","A192","0",124
"125","2",18,"A32","A42",1924,"0","2",4,"A92","A101",3,"A121",27,"A143","A151",1,"A173","1","A191","1",125
"126","1",12,"A34","A40",2121,"1","3",4,"A93","A101",2,"A122",30,"A143","A152",2,"A173","1","A191","0",126
"127","1",12,"A32","A43",701,"1","3",4,"A94","A101",2,"A121",40,"A143","A152",1,"A172","1","A191","0",127
"128","2",12,"A32","A45",639,"1","3",4,"A93","A101",2,"A123",30,"A143","A152",1,"A173","1","A191","1",128
"129","2",12,"A34","A41",1860,"1","1",4,"A93","A101",2,"A123",34,"A143","A152",2,"A174","1","A192","0",129
"130","1",12,"A34","A40",3499,"1","3",3,"A92","A102",2,"A121",29,"A143","A152",2,"A173","1","A191","1",130
"131","2",48,"A32","A40",8487,"0","4",1,"A92","A101",2,"A123",24,"A143","A152",1,"A173","1","A191","0",131
"132","1",36,"A33","A46",6887,"1","3",4,"A93","A101",3,"A122",29,"A142","A152",1,"A173","1","A192","1",132
"133","4",15,"A32","A42",2708,"1","2",2,"A93","A101",3,"A122",27,"A141","A152",2,"A172","1","A191","0",133
"134","4",18,"A32","A42",1984,"1","3",4,"A93","A101",4,"A124",47,"A141","A153",2,"A173","1","A191","0",134
"135","4",60,"A32","A43",10144,"2","4",2,"A92","A101",4,"A121",21,"A143","A152",1,"A173","1","A192","0",135
"136","4",12,"A34","A43",1240,"0","5",4,"A92","A101",2,"A121",38,"A143","A152",2,"A173","1","A192","0",136
"137","4",27,"A33","A41",8613,"4","3",2,"A93","A101",2,"A123",27,"A143","A152",2,"A173","1","A191","0",137
"138","2",12,"A32","A43",766,"3","3",4,"A93","A101",3,"A121",66,"A143","A152",1,"A172","1","A191","1",138
"139","2",15,"A34","A43",2728,"0","4",4,"A93","A103",2,"A121",35,"A141","A152",3,"A173","1","A192","0",139
"140","3",12,"A32","A43",1881,"1","3",2,"A92","A101",2,"A123",44,"A143","A151",1,"A172","1","A192","0",140
"141","3",6,"A32","A40",709,"4","2",2,"A94","A101",2,"A121",27,"A143","A152",1,"A171","1","A191","0",141
"142","2",36,"A32","A43",4795,"1","2",4,"A92","A101",1,"A124",30,"A143","A152",1,"A174","1","A192","0",142
"143","1",27,"A32","A43",3416,"1","3",3,"A93","A101",2,"A123",27,"A143","A152",1,"A174","1","A191","0",143
"144","1",18,"A32","A42",2462,"1","3",2,"A93","A101",2,"A123",22,"A143","A152",1,"A173","1","A191","1",144
"145","4",21,"A34","A42",2288,"1","2",4,"A92","A101",4,"A122",23,"A143","A152",1,"A173","1","A192","0",145
"146","2",48,"A31","A49",3566,"2","4",4,"A93","A101",2,"A123",30,"A143","A152",1,"A173","1","A191","0",146
"147","1",6,"A34","A40",860,"1","5",1,"A92","A101",4,"A124",39,"A143","A152",2,"A173","1","A192","0",147
"148","4",12,"A34","A40",682,"2","4",4,"A92","A101",3,"A123",51,"A143","A152",2,"A173","1","A192","0",148
"149","1",36,"A34","A42",5371,"1","3",3,"A93","A103",2,"A122",28,"A143","A152",2,"A173","1","A191","0",149
"150","4",18,"A34","A43",1582,"4","5",4,"A93","A101",4,"A123",46,"A143","A152",2,"A173","1","A191","0",150
"151","4",6,"A32","A43",1346,"2","5",2,"A93","A101",4,"A124",42,"A141","A153",1,"A173","2","A192","0",151
"152","4",10,"A32","A43",1924,"1","3",1,"A93","A101",4,"A122",38,"A143","A152",1,"A173","1","A192","0",152
"153","3",36,"A32","A43",5848,"1","3",4,"A93","A101",1,"A123",24,"A143","A152",1,"A173","1","A191","0",153
"154","2",24,"A34","A41",7758,"4","5",2,"A92","A101",4,"A124",29,"A143","A151",1,"A173","1","A191","0",154
"155","2",24,"A33","A49",6967,"2","4",4,"A93","A101",4,"A123",36,"A143","A151",1,"A174","1","A192","0",155
"156","1",12,"A32","A42",1282,"1","3",2,"A92","A101",4,"A123",20,"A143","A151",1,"A173","1","A191","1",156
"157","1",9,"A34","A45",1288,"2","5",3,"A93","A103",4,"A121",48,"A143","A152",2,"A173","2","A191","0",157
"158","1",12,"A31","A48",339,"1","5",4,"A94","A101",1,"A123",45,"A141","A152",1,"A172","1","A191","0",158
"159","2",24,"A32","A40",3512,"2","4",2,"A93","A101",3,"A123",38,"A141","A152",2,"A173","1","A192","0",159
"160","4",6,"A34","A43",1898,"0","3",1,"A93","A101",2,"A121",34,"A143","A152",2,"A172","2","A191","0",160
"161","4",24,"A34","A43",2872,"2","5",3,"A93","A101",4,"A121",36,"A143","A152",1,"A173","2","A192","0",161
"162","4",18,"A34","A40",1055,"1","2",4,"A92","A101",1,"A122",30,"A143","A152",2,"A173","1","A191","0",162
"163","4",15,"A32","A44",1262,"3","4",4,"A93","A101",3,"A122",36,"A143","A152",2,"A173","1","A192","0",163
"164","2",10,"A32","A40",7308,"1","1",2,"A93","A101",4,"A124",70,"A141","A153",1,"A174","1","A192","0",164
"165","4",36,"A32","A40",909,"3","5",4,"A93","A101",4,"A122",36,"A143","A152",1,"A173","1","A191","0",165
"166","4",6,"A32","A42",2978,"3","3",1,"A93","A101",2,"A123",32,"A143","A152",1,"A173","1","A192","0",166
"167","1",18,"A32","A42",1131,"1","1",4,"A92","A101",2,"A123",33,"A143","A152",1,"A173","1","A191","1",167
"168","2",11,"A32","A42",1577,"4","2",4,"A92","A101",1,"A121",20,"A143","A152",1,"A173","1","A191","0",168
"169","4",24,"A32","A42",3972,"1","4",2,"A92","A101",4,"A122",25,"A143","A151",1,"A173","1","A192","0",169
"170","2",24,"A34","A49",1935,"1","5",4,"A91","A101",4,"A121",31,"A143","A152",2,"A173","1","A192","1",170
"171","1",15,"A30","A40",950,"1","5",4,"A93","A101",3,"A123",33,"A143","A151",2,"A173","2","A191","1",171
"172","4",12,"A32","A42",763,"1","3",4,"A92","A101",1,"A121",26,"A143","A152",1,"A173","1","A192","0",172
"173","2",24,"A33","A42",2064,"1","1",3,"A92","A101",2,"A122",34,"A143","A152",1,"A174","1","A192","1",173
"174","2",8,"A32","A43",1414,"1","3",4,"A93","A103",2,"A121",33,"A143","A152",1,"A173","1","A191","0",174
"175","1",21,"A33","A46",3414,"1","2",2,"A93","A101",1,"A122",26,"A143","A152",2,"A173","1","A191","1",175
"176","4",30,"A31","A41",7485,"0","1",4,"A92","A101",1,"A121",53,"A141","A152",1,"A174","1","A192","1",176
"177","1",12,"A32","A42",2577,"1","3",2,"A91","A101",1,"A123",42,"A143","A152",1,"A173","1","A191","0",177
"178","1",6,"A34","A43",338,"3","5",4,"A93","A101",4,"A123",52,"A143","A152",2,"A173","1","A191","0",178
"179","4",12,"A32","A43",1963,"1","4",4,"A93","A101",2,"A123",31,"A143","A151",2,"A174","2","A192","0",179
"180","1",21,"A34","A40",571,"1","5",4,"A93","A101",4,"A121",65,"A143","A152",2,"A173","1","A191","0",180
"181","4",36,"A33","A49",9572,"1","2",1,"A91","A101",1,"A123",28,"A143","A152",2,"A173","1","A191","1",181
"182","2",36,"A33","A49",4455,"1","3",2,"A91","A101",2,"A121",30,"A142","A152",2,"A174","1","A192","1",182
"183","1",21,"A31","A40",1647,"0","3",4,"A93","A101",2,"A122",40,"A143","A152",2,"A172","2","A191","1",183
"184","4",24,"A34","A42",3777,"4","3",4,"A93","A101",4,"A121",50,"A143","A152",1,"A173","1","A192","0",184
"185","2",18,"A34","A40",884,"1","5",4,"A93","A101",4,"A123",36,"A141","A152",1,"A173","2","A192","1",185
"186","4",15,"A34","A43",1360,"1","3",4,"A93","A101",2,"A122",31,"A143","A152",2,"A173","1","A191","0",186
"187","2",9,"A31","A41",5129,"1","5",2,"A92","A101",4,"A124",74,"A141","A153",1,"A174","2","A192","1",187
"188","2",16,"A34","A40",1175,"1","1",2,"A93","A101",3,"A123",68,"A143","A153",3,"A171","1","A192","0",188
"189","1",12,"A32","A43",674,"2","4",4,"A94","A101",1,"A122",20,"A143","A152",1,"A173","1","A191","1",189
"190","2",18,"A30","A42",3244,"1","3",1,"A92","A101",4,"A123",33,"A141","A152",2,"A173","1","A192","0",190
"191","4",24,"A32","A49",4591,"4","3",2,"A93","A101",3,"A122",54,"A143","A152",3,"A174","1","A192","1",191
"192","2",48,"A30","A49",3844,"2","4",4,"A93","A101",4,"A124",34,"A143","A153",1,"A172","2","A191","1",192
"193","2",27,"A32","A49",3915,"1","3",4,"A93","A101",2,"A123",36,"A143","A152",1,"A173","2","A192","1",193
"194","4",6,"A32","A43",2108,"1","4",2,"A94","A101",2,"A121",29,"A143","A151",1,"A173","1","A191","0",194
"195","2",45,"A32","A43",3031,"2","3",4,"A93","A103",4,"A122",21,"A143","A151",1,"A173","1","A191","1",195
"196","2",9,"A34","A46",1501,"1","5",2,"A92","A101",3,"A123",34,"A143","A152",2,"A174","1","A192","1",196
"197","4",6,"A34","A43",1382,"1","3",1,"A92","A101",1,"A123",28,"A143","A152",2,"A173","1","A192","0",197
"198","2",12,"A32","A42",951,"2","2",4,"A92","A101",4,"A123",27,"A141","A151",4,"A173","1","A191","1",198
"199","2",24,"A32","A41",2760,"0","5",4,"A93","A101",4,"A124",36,"A141","A153",1,"A173","1","A192","0",199
"200","2",18,"A33","A42",4297,"1","5",4,"A91","A101",3,"A124",40,"A143","A152",1,"A174","1","A192","1",200
"201","4",9,"A34","A46",936,"3","5",4,"A93","A101",2,"A123",52,"A143","A152",2,"A173","1","A192","0",201
"202","1",12,"A32","A40",1168,"1","3",4,"A94","A101",3,"A121",27,"A143","A152",1,"A172","1","A191","0",202
"203","4",27,"A33","A49",5117,"1","4",3,"A93","A101",4,"A123",26,"A143","A152",2,"A173","1","A191","0",203
"204","1",12,"A32","A48",902,"1","4",4,"A94","A101",4,"A122",21,"A143","A151",1,"A173","1","A191","1",204
"205","4",12,"A34","A40",1495,"1","5",4,"A93","A101",1,"A121",38,"A143","A152",2,"A172","2","A191","0",205
"206","1",30,"A34","A41",10623,"1","5",3,"A93","A101",4,"A124",38,"A143","A153",3,"A174","2","A192","0",206
"207","4",12,"A34","A42",1935,"1","5",4,"A93","A101",4,"A121",43,"A143","A152",3,"A173","1","A192","0",207
"208","2",12,"A34","A44",1424,"1","4",4,"A93","A101",3,"A122",26,"A143","A152",1,"A173","1","A191","0",208
"209","1",24,"A32","A49",6568,"1","3",2,"A94","A101",2,"A123",21,"A142","A152",1,"A172","1","A191","0",209
"210","4",12,"A32","A41",1413,"4","4",3,"A93","A101",2,"A122",55,"A143","A152",1,"A173","1","A191","0",210
"211","4",9,"A34","A43",3074,"0","3",1,"A93","A101",2,"A121",33,"A143","A152",2,"A173","2","A191","0",211
"212","4",36,"A32","A43",3835,"0","5",2,"A92","A101",4,"A121",45,"A143","A152",1,"A172","1","A192","0",212
"213","1",27,"A30","A49",5293,"1","1",2,"A93","A101",4,"A122",50,"A142","A152",2,"A173","1","A192","1",213
"214","3",30,"A33","A49",1908,"1","5",4,"A93","A101",4,"A121",66,"A143","A152",1,"A174","1","A192","1",214
"215","4",36,"A34","A43",3342,"0","5",4,"A93","A101",2,"A123",51,"A143","A152",1,"A173","1","A192","0",215
"216","2",6,"A34","A48",932,"0","4",1,"A92","A101",3,"A122",39,"A143","A152",2,"A172","1","A191","0",216
"217","1",18,"A30","A49",3104,"1","4",3,"A93","A101",1,"A122",31,"A141","A152",1,"A173","1","A192","0",217
"218","3",36,"A32","A43",3913,"1","3",2,"A93","A101",2,"A121",23,"A143","A152",1,"A173","1","A192","0",218
"219","1",24,"A32","A42",3021,"1","3",2,"A91","A101",2,"A121",24,"A143","A151",1,"A172","1","A191","0",219
"220","4",10,"A32","A40",1364,"1","3",2,"A92","A101",4,"A123",64,"A143","A152",1,"A173","1","A192","0",220
"221","2",12,"A32","A43",625,"1","2",4,"A94","A103",1,"A121",26,"A141","A152",1,"A172","1","A191","0",221
"222","1",12,"A32","A46",1200,"0","3",4,"A92","A101",4,"A122",23,"A141","A151",1,"A173","1","A192","0",222
"223","4",12,"A32","A43",707,"1","3",4,"A93","A101",2,"A121",30,"A141","A152",2,"A173","1","A191","0",223
"224","4",24,"A33","A49",2978,"0","3",4,"A93","A101",4,"A121",32,"A143","A152",2,"A173","2","A192","0",224
"225","4",15,"A32","A41",4657,"1","3",3,"A93","A101",2,"A123",30,"A143","A152",1,"A173","1","A192","0",225
